County,Cases,Deaths,Date,State,Abbr,FIPS
Allegany,7,NA,2020-04-06,Maryland,MD,24001
Anne Arundel,370,8,2020-04-06,Maryland,MD,24003
Baltimore City,459,9,2020-04-06,Maryland,MD,24510
Baltimore County,652,11,2020-04-06,Maryland,MD,NA
Calvert,41,1,2020-04-06,Maryland,MD,24009
Caroline,11,NA,2020-04-06,Maryland,MD,24011
Carroll,159,16,2020-04-06,Maryland,MD,24013
Cecil,41,1,2020-04-06,Maryland,MD,24015
Charles,136,2,2020-04-06,Maryland,MD,24017
Dorchester,3,NA,2020-04-06,Maryland,MD,24019
Frederick,151,4,2020-04-06,Maryland,MD,24021
Garrett,3,NA,2020-04-06,Maryland,MD,24023
Harford,59,NA,2020-04-06,Maryland,MD,24025
Howard,236,3,2020-04-06,Maryland,MD,24027
Kent,8,NA,2020-04-06,Maryland,MD,24029
Montgomery,871,21,2020-04-06,Maryland,MD,24031
Prince Georges,1020,26,2020-04-06,Maryland,MD,24033
Queen Annes,15,NA,2020-04-06,Maryland,MD,24035
St Marys,46,NA,2020-04-06,Maryland,MD,24037
Somerset,4,NA,2020-04-06,Maryland,MD,24039
Talbot,8,NA,2020-04-06,Maryland,MD,24041
Washington,44,NA,2020-04-06,Maryland,MD,24043
Wicomico,17,1,2020-04-06,Maryland,MD,24045
Worcester,10,NA,2020-04-06,Maryland,MD,24047
Allegany,6,NA,2020-04-05,Maryland,MD,24001
Anne Arundel,343,8,2020-04-05,Maryland,MD,24003
Baltimore City,435,8,2020-04-05,Maryland,MD,24510
Baltimore County,648,11,2020-04-05,Maryland,MD,NA
Calvert,40,1,2020-04-05,Maryland,MD,24009
Caroline,6,NA,2020-04-05,Maryland,MD,24011
Carroll,150,10,2020-04-05,Maryland,MD,24013
Cecil,37,1,2020-04-05,Maryland,MD,24015
Charles,129,2,2020-04-05,Maryland,MD,24017
Dorchester,1,NA,2020-04-05,Maryland,MD,24019
Frederick,138,4,2020-04-05,Maryland,MD,24021
Garrett,3,NA,2020-04-05,Maryland,MD,24023
Harford,55,NA,2020-04-05,Maryland,MD,24025
Howard,214,3,2020-04-05,Maryland,MD,24027
Kent,5,NA,2020-04-05,Maryland,MD,24029
Montgomery,793,19,2020-04-05,Maryland,MD,24031
Prince Georges,916,23,2020-04-05,Maryland,MD,24033
Queen Annes,15,NA,2020-04-05,Maryland,MD,24035
St Marys,41,NA,2020-04-05,Maryland,MD,24037
Somerset,4,NA,2020-04-05,Maryland,MD,24039
Talbot,8,NA,2020-04-05,Maryland,MD,24041
Washington,37,NA,2020-04-05,Maryland,MD,24043
Wicomico,11,1,2020-04-05,Maryland,MD,24045
Worcester,10,NA,2020-04-05,Maryland,MD,24047
Allegany,6,NA,2020-04-04,Maryland,MD,24001
Anne Arundel,319,6,2020-04-04,Maryland,MD,24003
Baltimore City,394,7,2020-04-04,Maryland,MD,24510
Baltimore County,590,6,2020-04-04,Maryland,MD,NA
Calvert,39,1,2020-04-04,Maryland,MD,24009
Caroline,4,NA,2020-04-04,Maryland,MD,24011
Carroll,142,8,2020-04-04,Maryland,MD,24013
Cecil,36,1,2020-04-04,Maryland,MD,24015
Charles,111,2,2020-04-04,Maryland,MD,24017
Dorchester,1,NA,2020-04-04,Maryland,MD,24019
Frederick,112,3,2020-04-04,Maryland,MD,24021
Garrett,3,NA,2020-04-04,Maryland,MD,24023
Harford,52,NA,2020-04-04,Maryland,MD,24025
Howard,199,3,2020-04-04,Maryland,MD,24027
Kent,5,NA,2020-04-04,Maryland,MD,24029
Montgomery,693,13,2020-04-04,Maryland,MD,24031
Prince Georges,785,16,2020-04-04,Maryland,MD,24033
Queen Annes,13,NA,2020-04-04,Maryland,MD,24035
St Marys,40,NA,2020-04-04,Maryland,MD,24037
Somerset,4,NA,2020-04-04,Maryland,MD,24039
Talbot,7,NA,2020-04-04,Maryland,MD,24041
Washington,34,NA,2020-04-04,Maryland,MD,24043
Wicomico,11,1,2020-04-04,Maryland,MD,24045
Worcester,9,NA,2020-04-04,Maryland,MD,24047
Allegany,3,NA,2020-04-03,Maryland,MD,24001
Anne Arundel,289,6,2020-04-03,Maryland,MD,24003
Baltimore City,343,6,2020-04-03,Maryland,MD,24510
Baltimore County,491,4,2020-04-03,Maryland,MD,NA
Calvert,33,1,2020-04-03,Maryland,MD,24009
Caroline,4,NA,2020-04-03,Maryland,MD,24011
Carroll,134,6,2020-04-03,Maryland,MD,24013
Cecil,33,1,2020-04-03,Maryland,MD,24015
Charles,95,1,2020-04-03,Maryland,MD,24017
Dorchester,1,NA,2020-04-03,Maryland,MD,24019
Frederick,73,2,2020-04-03,Maryland,MD,24021
Garrett,3,NA,2020-04-03,Maryland,MD,24023
Harford,44,NA,2020-04-03,Maryland,MD,24025
Howard,180,3,2020-04-03,Maryland,MD,24027
Kent,5,NA,2020-04-03,Maryland,MD,24029
Montgomery,640,9,2020-04-03,Maryland,MD,24031
Prince Georges,653,13,2020-04-03,Maryland,MD,24033
Queen Annes,13,NA,2020-04-03,Maryland,MD,24035
St Marys,34,NA,2020-04-03,Maryland,MD,24037
Somerset,4,NA,2020-04-03,Maryland,MD,24039
Talbot,6,NA,2020-04-03,Maryland,MD,24041
Washington,29,NA,2020-04-03,Maryland,MD,24043
Wicomico,8,1,2020-04-03,Maryland,MD,24045
Worcester,7,NA,2020-04-03,Maryland,MD,24047
Allegany,2,NA,2020-04-02,Maryland,MD,24001
Anne Arundel,249,4,2020-04-02,Maryland,MD,24003
Baltimore City,313,4,2020-04-02,Maryland,MD,24510
Baltimore County,427,3,2020-04-02,Maryland,MD,NA
Calvert,30,1,2020-04-02,Maryland,MD,24009
Caroline,4,NA,2020-04-02,Maryland,MD,24011
Carroll,129,5,2020-04-02,Maryland,MD,24013
Cecil,25,1,2020-04-02,Maryland,MD,24015
Charles,90,1,2020-04-02,Maryland,MD,24017
Dorchester,1,NA,2020-04-02,Maryland,MD,24019
Frederick,54,2,2020-04-02,Maryland,MD,24021
Garrett,3,NA,2020-04-02,Maryland,MD,24023
Harford,41,NA,2020-04-02,Maryland,MD,24025
Howard,166,2,2020-04-02,Maryland,MD,24027
Kent,5,NA,2020-04-02,Maryland,MD,24029
Montgomery,566,9,2020-04-02,Maryland,MD,24031
Prince Georges,563,9,2020-04-02,Maryland,MD,24033
Queen Annes,12,NA,2020-04-02,Maryland,MD,24035
St Marys,30,NA,2020-04-02,Maryland,MD,24037
Somerset,4,NA,2020-04-02,Maryland,MD,24039
Talbot,5,NA,2020-04-02,Maryland,MD,24041
Washington,27,NA,2020-04-02,Maryland,MD,24043
Wicomico,7,1,2020-04-02,Maryland,MD,24045
Worcester,5,NA,2020-04-02,Maryland,MD,24047
Allegany,1,NA,2020-04-01,Maryland,MD,24001
Anne Arundel,206,NA,2020-04-01,Maryland,MD,24003
Baltimore City,265,NA,2020-04-01,Maryland,MD,24510
Baltimore County,353,NA,2020-04-01,Maryland,MD,NA
Calvert,22,NA,2020-04-01,Maryland,MD,24009
Caroline,4,NA,2020-04-01,Maryland,MD,24011
Carroll,105,NA,2020-04-01,Maryland,MD,24013
Cecil,20,NA,2020-04-01,Maryland,MD,24015
Charles,69,NA,2020-04-01,Maryland,MD,24017
Dorchester,1,NA,2020-04-01,Maryland,MD,24019
Frederick,45,NA,2020-04-01,Maryland,MD,24021
Garrett,3,NA,2020-04-01,Maryland,MD,24023
Harford,37,NA,2020-04-01,Maryland,MD,24025
Howard,152,NA,2020-04-01,Maryland,MD,24027
Kent,5,NA,2020-04-01,Maryland,MD,24029
